Project Name,Sample ID,Latitude,Longitude,latlong,Depth,Datetime,Start Date,End Date,Biome,Environmental Feature,Environmental Material,Oxygen,Temperature,Nitrate
GOS,SAMEA3512137,50.249832,-4.216942,"(50.249832,-4.216942)",17,Thu May 21 2009 11:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,11,0.252
GOS,SAMEA3512136,50.249832,-4.216942,"(50.249832,-4.216942)",17,Thu May 21 2009 11:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,11,0.252
GOS,SAMEA3512135,50.249832,-4.216942,"(50.249832,-4.216942)",17,Thu May 21 2009 11:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,11,0.252
GOS,SAMEA3512140,50.249832,-4.216942,"(50.249832,-4.216942)",2,Thu May 21 2009 11:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,12,0.559
GOS,SAMEA3512139,50.249832,-4.216942,"(50.249832,-4.216942)",2,Thu May 21 2009 11:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,12,0.559
GOS,SAMEA3512138,50.249832,-4.216942,"(50.249832,-4.216942)",2,Thu May 21 2009 11:00:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,186.237,12,0.559
GOS,SAMEA3512143,50.02885,-4.3367,"(50.02885,-4.3367)",70,Thu May 28 2009 09:30:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,189.29,10.77,1.365
GOS,SAMEA3512142,50.02885,-4.3367,"(50.02885,-4.3367)",70,Thu May 28 2009 09:30:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,189.29,10.77,1.365
GOS,SAMEA3512141,50.02885,-4.3367,"(50.02885,-4.3367)",70,Thu May 28 2009 09:30:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,189.29,10.77,1.365
GOS,SAMEA3512146,50.02885,-4.3367,"(50.02885,-4.3367)",1,Thu May 28 2009 11:15:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,182.573,12.44,0.268
GOS,SAMEA3512145,50.02885,-4.3367,"(50.02885,-4.3367)",1,Thu May 28 2009 11:15:00 GMT-0700 (MST),,,ocean biome,coastal water body,sea water,182.573,12.44,0.268
