Project Name,Sample ID,File Name,Depth,Datetime,End Date,Biome,Environmental Feature,Environmental Material,Prochlorococcus Count,Synechococcus Count,Temperature,Chlorophyll,Particulate Phosphorus,Particulate Carbon,Particulate Nitrogen,Particulate Silica,19'-butanoyloxyfucoxanthin,19'-hexanoyloxyfucoxanthin,Chlorophyll A,Fucoxanthin,Nitrate,Oxygen,Silicic Acid,Zeaxanthin,Salinity,Chlorophyll B
HOT ALOHA time/depth series,SAMN05991650,SRR5002342,25.8351,2010-08-07T21:06:33.000Z,"2010-08-07T20:40:00.000Z, 2010-08-07T20:40:00.000Z",marine biome,marine wind mixed layer,sea water,162100,800,25.456,101.111,9.8,2.58,0.323,2.47,0.00000402,0.00001419,53.61,0.00000456,3.082,208.6,1.08502,0.00010384,35.2136,0.005
HOT ALOHA time/depth series,SAMN05991651,SRR5002410,45.7061,2010-08-07T21:04:01.000Z,"2010-08-07T20:40:00.000Z, 2010-08-07T20:40:00.000Z",marine biome,marine wind mixed layer,sea water,172500,900,25.3467,113.18,11.7,2.27,0.296,11.31,0.0000067,0.00002064,98.285,0.00000608,2.146,209.4,1.11572,0.00010384,35.2118,0.002
HOT ALOHA time/depth series,SAMN05991652,SRR5002343,75.5089,2010-08-07T21:01:12.000Z,"2010-08-07T20:40:00.000Z, 2010-08-07T20:40:00.000Z",marine biome,marine wind mixed layer,sea water,217600,900,25.2528,161.456,10.8919,2.16,0.309,8.14,0.00001072,0.00003096,116.155,0.00001064,2.661,210.3,1.10549,0.00012144,35.2135,0.006
HOT ALOHA time/depth series,SAMN05991653,SRR5002371,125.17,2010-08-08T23:11:38.000Z,"2010-08-08T22:16:00.000Z, 2010-08-08T22:16:00.000Z",marine biome,marine wind mixed layer,sea water,127300,1200,23.1095,527.818,8.6295,1.72,0.284,4.21231,2.88E-05,7.08E-05,241.245,0.00000608,0.193,216.1,1.2331,9.69E-05,35.2639,0.074495
HOT ALOHA time/depth series,SAMN05991658,SRR5002406,25.8351,2010-09-03T21:23:29.000Z,"2010-09-03T20:53:00.000Z, 2010-09-03T20:53:00.000Z",marine biome,marine wind mixed layer,sea water,184700,900,25.6187,89.9364,10.1,2.31,0.326,12.44,0.00000402,0.00001548,62.545,0.00000304,1.576,208.3,1.1669,0.00011616,35.2372,0.007
HOT ALOHA time/depth series,SAMN05991659,SRR5002376,45.7061,2010-09-03T21:20:13.000Z,"2010-09-03T20:53:00.000Z, 2010-09-03T20:53:00.000Z",marine biome,marine wind mixed layer,sea water,199700,1100,25.5986,118.097,6.9,2.34,0.324,13.9,0.0000067,0.00002193,89.35,0.00000456,1.252,208.5,1.12596,0.00013376,35.2358,0.004
HOT ALOHA time/depth series,SAMN05991660,SRR5002341,75.5089,2010-09-03T21:16:13.000Z,"2010-09-03T20:53:00.000Z, 2010-09-03T20:53:00.000Z",marine biome,marine wind mixed layer,sea water,241100,1900,24.5858,243.257,8.2,2.2758,0.3347,12.8251,0.000012658,3.60E-05,125.09,8.33E-06,1.146,217.8,1.18738,0.000139418,35.2741,0.0153029
HOT ALOHA time/depth series,SAMN05991661,SRR5002322,125.17,2010-09-04T23:41:18.000Z,"2010-09-04T22:50:00.000Z, 2010-09-04T22:50:00.000Z",marine biome,marine wind mixed layer,sea water,48700,0,22.2564,566.617,5.7,1.06,0.195,12.4,0.00004288,0.00004257,116.155,0.00000608,1.358,205,1.47398,0.00002992,35.2738,0.138
HOT ALOHA time/depth series,SAMN05991666,SRR5002402,25.8352,2010-10-03T20:34:05.000Z,"2010-10-03T20:07:00.000Z, 2010-10-03T20:07:00.000Z",marine biome,marine wind mixed layer,sea water,214000,1200,26.0483,152.069,5.7,2.73,0.395,12.65,0.0000067,0.00002064,98.285,0.00000608,1.959,209.2,1.09525,0.0001232,35.2948,0.005
HOT ALOHA time/depth series,SAMN05991667,SRR5002337,45.7061,2010-10-03T20:31:21.000Z,"2010-10-03T20:07:00.000Z, 2010-10-03T20:07:00.000Z",marine biome,marine wind mixed layer,sea water,214800,1500,26.022,158.774,6,2.59,0.355,6.15,0.0000067,0.00002451,89.35,0.0000076,1.957,209.5,1.08502,0.00012848,35.2899,0.004
HOT ALOHA time/depth series,SAMN05991668,SRR5002334,75.509,2010-10-03T20:28:20.000Z,"2010-10-03T20:07:00.000Z, 2010-10-03T20:07:00.000Z",marine biome,marine wind mixed layer,sea water,270400,1400,25.5631,307.178,3.8,2.63,0.399,11.1,0.00001474,0.00004902,196.57,0.00001064,1.717,211.5,1.18738,0.00015136,35.25,0.019
