Project Name,Sample ID,latlong,Latitude,Longitude,Biome,Environmental Feature,Environmental Material,Acidity
CDEBI Juan de Fuca Ridge Flank,SAMN03166097,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.7
CDEBI Juan de Fuca Ridge Flank,SAMN03166099,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166100,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166101,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166102,"(47.89,-128.65),(47.89,-128.65)",47.89,-128.65,marine abyssal zone biome,oceanic zone,sea water,7.9
CDEBI Juan de Fuca Ridge Flank,SAMN03166103,"(47.89,-128.65),(47.89,-128.65)",47.89,-128.65,marine abyssal zone biome,oceanic zone,sea water,7.9
CDEBI Juan de Fuca Ridge Flank,SAMN03166104,"(47.89,-128.65),(47.89,-128.65)",47.89,-128.65,marine abyssal zone biome,oceanic zone,sea water,7.9
CDEBI Juan de Fuca Ridge Flank,SAMN03166105,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166106,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166107,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166108,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
CDEBI Juan de Fuca Ridge Flank,SAMN03166109,"(47.76,-127.76),(47.76,-127.76)",47.76,-127.76,marine abyssal zone biome,oceanic zone,sea water,7.8
